,Injured,Killed,Counter,Concealed_carry,Open_carry_hand_gun,ID,State
0,30.0,5.0,5.0,2,0,AL,Alabama
1,15.0,5.0,5.0,0,0,AZ,Arizona
2,35.0,2.0,3.0,1,0,AR,Arkansas
3,143.0,37.0,36.0,2,3,CA,California
4,1.0,3.0,1.0,1,0,CO,Colorado
5,6.0,2.0,2.0,2,1,CT,Connecticut
6,4.0,0.0,1.0,2,0,DE,Delaware
7,22.0,2.0,5.0,3,3,DC,District of Columbia
8,93.0,20.0,22.0,1,3,FL,Florida
9,36.0,9.0,9.0,1,1,GA,Georgia
10,145.0,24.0,35.0,3,3,IL,Illinois
11,32.0,5.0,8.0,1,1,IN,Indiana
12,8.0,1.0,2.0,1,1,IA,Iowa
13,8.0,11.0,4.0,1,0,KS,Kansas
14,26.0,2.0,6.0,1,0,KY,Kentucky
15,45.0,16.0,13.0,1,0,LA,Louisiana
16,1.0,4.0,1.0,1,0,ME,Maine
17,25.0,9.0,8.0,2,1,MD,Maryland
18,25.0,9.0,8.0,1,0,MI,Michigan
19,13.0,4.0,4.0,1,1,MN,Minnesota
20,32.0,24.0,11.0,1,0,MS,Mississippi
21,29.0,19.0,10.0,1,0,MO,Missouri
22,2.0,3.0,1.0,1,0,MT,Montana
23,441.0,59.0,1.0,1,0,NV,Nevada
24,41.0,9.0,12.0,2,1,NJ,New Jersey
25,4.0,7.0,2.0,1,0,NM,New Mexico
26,56.0,4.0,13.0,2,3,NY,New York
27,22.0,12.0,7.0,1,0,NC,North Carolina
28,95.0,18.0,20.0,1,0,OH,Ohio
29,3.0,2.0,1.0,1,0,OK,Oklahoma
30,56.0,7.0,14.0,1,0,PA,Pennsylvania
31,32.0,5.0,7.0,1,3,SC,South Carolina
32,63.0,7.0,14.0,1,1,TN,Tennessee
33,91.0,59.0,22.0,1,3,TX,Texas
34,2.0,3.0,1.0,1,1,UT,Utah
35,51.0,7.0,12.0,1,0,VA,Virginia
36,9.0,1.0,2.0,1,0,WA,Washington
37,4.0,5.0,2.0,1,0,WI,Wisconsin
38,,,,2,1,HI,Hawaii
39,,,,1,0,OR,Oregon
40,,,,0,0,AK,Alaska
41,,,,1,0,ID,Idaho
42,,,,0,0,WY,Wyoming
43,,,,1,0,NE,Nebraska
44,,,,1,0,SD,South Dakota
45,,,,1,0,ND,North Dakota
46,,,,0,0,VT,Vermont
47,,,,2,1,RI,Rhode Island
48,,,,1,1,NH,New Hampshire
49,,,,2,1,MA,Massachusetts
50,,,,1,0,WV,West Virginia
