State,Injured,Killed,Inj_fg,Kil_fg
Alabama,30.0,5.0,1.7647058823529411,0.29411764705882354
Arizona,15.0,5.0,1.875,0.625
Arkansas,35.0,2.0,2.0588235294117645,0.11764705882352941
California,143.0,37.0,28.6,7.4
Colorado,1.0,3.0,0.06666666666666667,0.2
Connecticut,6.0,2.0,0.42857142857142855,0.14285714285714285
Delaware,4.0,0.0,0.6666666666666666,0.0
District of Columbia,22.0,2.0,1.8333333333333333,0.16666666666666666
Florida,93.0,20.0,11.625,2.5
Georgia,36.0,9.0,4.0,1.0
Illinois,145.0,24.0,10.357142857142858,1.7142857142857142
Indiana,32.0,5.0,2.6666666666666665,0.4166666666666667
Iowa,8.0,1.0,0.8,0.1
Kansas,8.0,11.0,0.6153846153846154,0.8461538461538461
Kentucky,26.0,2.0,0.19402985074626866,0.014925373134328358
Louisiana,45.0,16.0,3.4615384615384617,1.2307692307692308
Maine,1.0,4.0,0.08333333333333333,0.3333333333333333
Maryland,25.0,9.0,6.25,2.25
Michigan,25.0,9.0,2.7777777777777777,1.0
Minnesota,13.0,4.0,1.0,0.3076923076923077
Mississippi,32.0,24.0,2.2857142857142856,1.7142857142857142
Missouri,29.0,19.0,1.9333333333333333,1.2666666666666666
Montana,2.0,3.0,0.07692307692307693,0.11538461538461539
Nevada,441.0,59.0,44.1,5.9
New Jersey,41.0,9.0,20.5,4.5
New Mexico,4.0,7.0,0.3076923076923077,0.5384615384615384
New York,56.0,4.0,18.666666666666668,1.3333333333333333
North Carolina,22.0,12.0,2.4444444444444446,1.3333333333333333
Ohio,95.0,18.0,11.875,2.25
Oklahoma,3.0,2.0,0.1875,0.125
Pennsylvania,56.0,7.0,4.666666666666667,0.5833333333333334
South Carolina,32.0,5.0,2.6666666666666665,0.4166666666666667
Tennessee,63.0,7.0,3.7058823529411766,0.4117647058823529
Texas,91.0,59.0,9.1,5.9
Utah,2.0,3.0,0.06666666666666667,0.1
Virginia,51.0,7.0,5.1,0.7
Washington,9.0,1.0,0.6923076923076923,0.07692307692307693
Wisconsin,4.0,5.0,0.4444444444444444,0.5555555555555556
