State,Injured,Killed,Inj_hab,Kil_hab
Alabama,30.0,5.0,6.168650916044661,1.0281084860074436
Arizona,15.0,5.0,2.164167702220912,0.7213892340736374
Arkansas,35.0,2.0,11.712548623809,0.6692884927890858
California,143.0,37.0,3.643310523916461,0.94267475094342
Colorado,1.0,3.0,0.1804876596074935,0.5414629788224805
Connecticut,6.0,2.0,1.6776402982620764,0.5592134327540255
Delaware,4.0,0.0,4.201393812397263,0.0
District of Columbia,22.0,2.0,32.29737070041252,2.9361246091284112
Florida,93.0,20.0,4.511838700893184,0.9702878926652009
Georgia,36.0,9.0,3.4916299326183315,0.8729074831545829
Illinois,145.0,24.0,11.326763133713845,1.8747745876491881
Indiana,32.0,5.0,4.82432448527096,0.7538007008235875
Iowa,8.0,1.0,2.5520840477839455,0.3190105059729932
Kansas,8.0,11.0,2.7517044229177077,3.783593581511848
Kentucky,26.0,2.0,5.8598495280792715,0.45075765600609785
Louisiana,45.0,16.0,9.611962920891836,3.4175868163170975
Maine,1.0,4.0,0.751044515159458,3.004178060637832
Maryland,25.0,9.0,4.155276361613423,1.4958994901808325
Michigan,25.0,9.0,2.5180544504094358,0.9064996021473968
Minnesota,13.0,4.0,2.3550929428371843,0.7246439824114412
Mississippi,32.0,24.0,10.706903208925809,8.030177406694357
Missouri,29.0,19.0,4.759560150992943,3.118332512719514
Montana,2.0,3.0,1.9184284234355218,2.8776426351532827
Nevada,441.0,59.0,149.99704087470383,20.06763131883793
New Jersey,41.0,9.0,4.583838347474847,1.0062084177383812
New Mexico,4.0,7.0,1.9221389562304934,3.3637431734033636
New York,56.0,4.0,2.8361195422361254,0.20257996730258038
North Carolina,22.0,12.0,2.1681738102737533,1.18264026014932
Ohio,95.0,18.0,8.179520323654147,1.549803850797628
Oklahoma,3.0,2.0,0.7646115352864401,0.5097410235242934
Pennsylvania,56.0,7.0,4.380397813649585,0.5475497267061982
South Carolina,32.0,5.0,6.450157716434538,1.0078371431928965
Tennessee,63.0,7.0,9.471983526566808,1.0524426140629788
Texas,91.0,59.0,3.2660273292553215,2.117534202484219
Utah,2.0,3.0,0.6554761591850072,0.9832142387775108
Virginia,51.0,7.0,6.062905858050968,0.8321635491442505
Washington,9.0,1.0,1.234906695938529,0.137211855104281
Wisconsin,4.0,5.0,0.6921962487116498,0.8652453108895621
